b 3	-25.000	2.250	0.033
b 4	-25.000	3.000	0.058
b 5	-25.000	3.750	0.093
b 6	-25.000	4.500	0.147
b 7	-25.000	5.250	0.239
b 8	-25.000	6.000	0.433
b 9	-25.000	6.750	0.848
b 10	-25.000	7.500	1.507
b 11	-25.000	8.250	2.815
DWL	-25.000	8.873	6.600
wl 3	-25.000	9.000	12.091
wl 4	-25.000	9.000	11.455
wl 5	-25.000	8.999	10.818
wl 6	-25.000	8.998	10.182
wl 7	-25.000	8.994	9.545
wl 8	-25.000	8.986	8.909
wl 9	-25.000	8.971	8.273
wl 10	-25.000	8.944	7.636
wl 11	-25.000	8.904	7.000
wl 12	-25.000	8.852	6.364
wl 13	-25.000	8.789	5.727
wl 14	-25.000	8.714	5.091
wl 15	-25.000	8.623	4.455
wl 16	-25.000	8.510	3.818
wl 17	-25.000	8.361	3.182
wl 18	-25.000	8.150	2.545
wl 19	-25.000	7.815	1.909
wl 20	-25.000	7.269	1.273
wl 21	-25.000	6.424	0.636
Edge: Hull, Top	-25.000	0.000	0.000
Edge: Hull, Bottom	-25.000	9.000	12.400
b 1	-20.000	0.750	0.000
b 2	-20.000	1.500	0.001
b 3	-20.000	2.250	0.002
b 4	-20.000	3.000	0.004
b 5	-20.000	3.750	0.009
b 6	-20.000	4.500	0.015
b 7	-20.000	5.250	0.027
b 8	-20.000	6.000	0.048
b 9	-20.000	6.750	0.097
b 10	-20.000	7.500	0.260
b 11	-20.000	8.250	0.857
DWL	-20.000	8.965	6.600
wl 3	-20.000	9.000	12.091
wl 4	-20.000	9.000	11.455
wl 5	-20.000	9.000	10.818
wl 6	-20.000	8.999	10.182
wl 7	-20.000	8.998	9.545
wl 8	-20.000	8.996	8.909
wl 9	-20.000	8.991	8.273
wl 10	-20.000	8.984	7.636
wl 11	-20.000	8.974	7.000
wl 12	-20.000	8.960	6.364
wl 13	-20.000	8.942	5.727
wl 14	-20.000	8.922	5.091
wl 15	-20.000	8.897	4.455
wl 16	-20.000	8.868	3.818
wl 17	-20.000	8.830	3.182
wl 18	-20.000	8.777	2.545
wl 19	-20.000	8.690	1.909
wl 20	-20.000	8.505	1.273
wl 21	-20.000	8.048	0.636
Edge: Hull, Top	-20.000	0.000	0.000
Edge: Hull, Bottom	-20.000	9.000	12.400
b 1	-15.000	0.750	0.000
b 2	-15.000	1.500	0.000
b 3	-15.000	2.250	0.000
b 4	-15.000	3.000	0.001
b 5	-15.000	3.750	0.002
b 6	-15.000	4.500	0.005
b 7	-15.000	5.250	0.009
b 8	-15.000	6.000	0.016
b 9	-15.000	6.750	0.030
b 10	-15.000	7.500	0.068
b 11	-15.000	8.250	0.247
DWL	-15.000	8.995	6.600
wl 3	-15.000	9.000	12.091
wl 4	-15.000	9.000	11.455
wl 5	-15.000	9.000	10.818
wl 6	-15.000	9.000	10.182
wl 7	-15.000	9.000	9.545
wl 8	-15.000	8.999	8.909
wl 9	-15.000	8.999	8.273
wl 10	-15.000	8.998	7.636
wl 11	-15.000	8.996	7.000
wl 12	-15.000	8.995	6.364
wl 13	-15.000	8.992	5.727
wl 14	-15.000	8.990	5.091
wl 15	-15.000	8.986	4.455
wl 16	-15.000	8.982	3.818
wl 17	-15.000	8.977	3.182
wl 18	-15.000	8.968	2.545
wl 19	-15.000	8.950	1.909
wl 20	-15.000	8.898	1.273
wl 21	-15.000	8.656	0.636
Edge: Hull, Top	-15.000	0.000	0.000
Edge: Hull, Bottom	-15.000	9.000	12.400
b 1	-10.000	0.750	0.000
b 2	-10.000	1.500	0.000
b 3	-10.000	2.250	0.000
b 4	-10.000	3.000	0.001
b 5	-10.000	3.750	0.002
b 6	-10.000	4.500	0.003
b 7	-10.000	5.250	0.007
b 8	-10.000	6.000	0.012
b 9	-10.000	6.750	0.024
b 10	-10.000	7.500	0.054
b 11	-10.000	8.250	0.186
DWL	-10.000	9.000	6.600
wl 3	-10.000	9.000	12.091
wl 4	-10.000	9.000	11.455
wl 5	-10.000	9.000	10.818
wl 6	-10.000	9.000	10.182
wl 7	-10.000	9.000	9.545
wl 8	-10.000	9.000	8.909
wl 9	-10.000	9.000	8.273
wl 10	-10.000	9.000	7.636
wl 11	-10.000	9.000	7.000
wl 12	-10.000	9.000	6.364
wl 13	-10.000	9.000	5.727
wl 14	-10.000	9.000	5.091
wl 15	-10.000	9.000	4.455
wl 16	-10.000	8.999	3.818
wl 17	-10.000	8.999	3.182
wl 18	-10.000	8.996	2.545
wl 19	-10.000	8.989	1.909
wl 20	-10.000	8.957	1.273
wl 21	-10.000	8.751	0.636
Edge: Hull, Top	-10.000	0.000	0.000
Edge: Hull, Bottom	-10.000	9.000	12.400
b 1	-5.000	0.750	0.000
b 2	-5.000	1.500	0.000
b 3	-5.000	2.250	0.000
b 4	-5.000	3.000	0.001
b 5	-5.000	3.750	0.002
b 6	-5.000	4.500	0.004
b 7	-5.000	5.250	0.007
b 8	-5.000	6.000	0.013
b 9	-5.000	6.750	0.025
b 10	-5.000	7.500	0.055
b 11	-5.000	8.250	0.187
DWL	-5.000	9.000	6.600
wl 3	-5.000	9.000	12.091
wl 4	-5.000	9.000	11.455
wl 5	-5.000	9.000	10.818
wl 6	-5.000	9.000	10.182
wl 7	-5.000	9.000	9.545
wl 8	-5.000	9.000	8.909
wl 9	-5.000	9.000	8.273
wl 10	-5.000	9.000	7.636
wl 11	-5.000	9.000	7.000
wl 12	-5.000	9.000	6.364
wl 13	-5.000	9.000	5.727
wl 14	-5.000	9.000	5.091
wl 15	-5.000	9.000	4.455
wl 16	-5.000	8.999	3.818
wl 17	-5.000	8.999	3.182
wl 18	-5.000	8.997	2.545
wl 19	-5.000	8.990	1.909
wl 20	-5.000	8.961	1.273
wl 21	-5.000	8.752	0.636
Edge: Hull, Top	-5.000	0.000	0.000
Edge: Hull, Bottom	-5.000	9.000	12.400
b 1	0.000	0.750	0.000
b 2	0.000	1.500	0.000
b 3	0.000	2.250	0.000
b 4	0.000	3.000	0.001
b 5	0.000	3.750	0.002
b 6	0.000	4.500	0.005
b 7	0.000	5.250	0.008
b 8	0.000	6.000	0.015
b 9	0.000	6.750	0.029
b 10	0.000	7.500	0.063
b 11	0.000	8.250	0.209
DWL	0.000	8.984	6.600
wl 3	0.000	8.999	12.091
wl 4	0.000	8.997	11.455
wl 5	0.000	8.996	10.818
wl 6	0.000	8.994	10.182
wl 7	0.000	8.992	9.545
wl 8	0.000	8.990	8.909
wl 9	0.000	8.988	8.273
wl 10	0.000	8.987	7.636
wl 11	0.000	8.985	7.000
wl 12	0.000	8.984	6.364
wl 13	0.000	8.982	5.727
wl 14	0.000	8.981	5.091
wl 15	0.000	8.980	4.455
wl 16	0.000	8.979	3.818
wl 17	0.000	8.977	3.182
wl 18	0.000	8.974	2.545
wl 19	0.000	8.966	1.909
wl 20	0.000	8.936	1.273
wl 21	0.000	8.718	0.636
Edge: Hull, Top	0.000	0.000	0.000
Edge: Hull, Bottom	0.000	9.000	12.402
b 1	5.000	0.750	0.000
b 2	5.000	1.500	0.000
b 3	5.000	2.250	0.001
b 4	5.000	3.000	0.003
b 5	5.000	3.750	0.005
b 6	5.000	4.500	0.009
b 7	5.000	5.250	0.015
b 8	5.000	6.000	0.025
b 9	5.000	6.750	0.044
b 10	5.000	7.500	0.091
b 11	5.000	8.250	0.295
DWL	5.000	8.927	6.600
wl 3	5.000	8.996	12.091
wl 4	5.000	8.988	11.455
wl 5	5.000	8.980	10.818
wl 6	5.000	8.971	10.182
wl 7	5.000	8.963	9.545
wl 8	5.000	8.954	8.909
wl 9	5.000	8.946	8.273
wl 10	5.000	8.938	7.636
wl 11	5.000	8.931	7.000
wl 12	5.000	8.924	6.364
wl 13	5.000	8.918	5.727
wl 14	5.000	8.913	5.091
wl 15	5.000	8.908	4.455
wl 16	5.000	8.903	3.818
wl 17	5.000	8.898	3.182
wl 18	5.000	8.891	2.545
wl 19	5.000	8.879	1.909
wl 20	5.000	8.840	1.273
wl 21	5.000	8.592	0.636
Edge: Hull, Top	5.000	0.000	0.000
Edge: Hull, Bottom	5.000	9.000	12.410
b 1	10.000	0.750	0.000
b 2	10.000	1.500	0.001
b 3	10.000	2.250	0.003
b 4	10.000	3.000	0.006
b 5	10.000	3.750	0.011
b 6	10.000	4.500	0.018
b 7	10.000	5.250	0.030
b 8	10.000	6.000	0.049
b 9	10.000	6.750	0.084
b 10	10.000	7.500	0.169
b 11	10.000	8.250	0.565
DWL	10.000	8.796	6.600
wl 3	10.000	8.988	12.091
wl 4	10.000	8.965	11.455
wl 5	10.000	8.943	10.818
wl 6	10.000	8.919	10.182
wl 7	10.000	8.896	9.545
wl 8	10.000	8.873	8.909
wl 9	10.000	8.850	8.273
wl 10	10.000	8.828	7.636
wl 11	10.000	8.808	7.000
wl 12	10.000	8.789	6.364
wl 13	10.000	8.772	5.727
wl 14	10.000	8.757	5.091
wl 15	10.000	8.743	4.455
wl 16	10.000	8.730	3.818
wl 17	10.000	8.716	3.182
wl 18	10.000	8.701	2.545
wl 19	10.000	8.679	1.909
wl 20	10.000	8.619	1.273
wl 21	10.000	8.310	0.636
Edge: Hull, Top	10.000	0.000	0.000
Edge: Hull, Bottom	10.000	9.000	12.427
b 1	15.000	0.750	0.000
b 2	15.000	1.500	0.003
b 3	15.000	2.250	0.007
b 4	15.000	3.000	0.015
b 5	15.000	3.750	0.026
b 6	15.000	4.500	0.044
b 7	15.000	5.250	0.071
b 8	15.000	6.000	0.116
b 9	15.000	6.750	0.202
b 10	15.000	7.500	0.443
b 11	15.000	8.250	1.777
DWL	15.000	8.527	6.600
